"CPGX",25.14,"4/4/2016","10:48am",+0.06,25.12,25.18,25.08,3022633
"CRM",75.955,"4/4/2016","10:49am",+0.225,75.850,76.440,75.620,910715
"CSCO",28.09,"4/4/2016","10:49am",-0.60,28.40,28.41,28.09,5006279
"CSRA",27.01,"4/4/2016","10:49am",-0.26,27.32,27.32,26.94,227752
"CSX",25.66,"4/4/2016","10:49am",+0.04,25.53,25.74,25.22,4757459
"CTAS",89.24,"4/4/2016","10:49am",-0.83,90.32,90.98,89.24,79669
"CTL",32.45,"4/4/2016","10:48am",+0.27,32.20,32.68,32.16,1075897
"CTSH",62.105,"4/4/2016","10:49am",-1.015,63.120,63.140,61.990,686488
"CTXS",78.7521,"4/4/2016","10:49am",-0.7879,79.6300,79.9000,78.7521,168896
"CVC",32.96,"4/4/2016","10:48am",+0.01,32.96,33.00,32.90,510500
"CVS",103.93,"4/4/2016","10:49am",-0.89,103.89,104.56,103.76,1105830
"CVX",93.92,"4/4/2016","10:49am",-0.34,94.44,94.48,93.50,1721776
"CXO",101.55,"4/4/2016","10:49am",+0.42,101.73,102.26,100.26,240362
"D",74.63,"4/4/2016","10:49am",-0.76,75.22,75.22,74.43,370923
"DAL",47.965,"4/4/2016","10:49am",+0.955,47.110,48.320,46.760,2976950
"DD",63.63,"4/4/2016","10:48am",-0.28,63.64,63.97,63.38,357752
"DE",76.67,"4/4/2016","10:48am",+0.17,76.28,76.85,76.10,630719
"DFS",51.06,"4/4/2016","10:49am",-0.33,51.34,51.38,50.92,387505
"DG",86.14,"4/4/2016","10:49am",-1.17,87.21,87.31,86.05,496528
"DGX",71.97,"4/4/2016","10:49am",-0.20,72.33,72.64,71.97,97590
"DHI",29.92,"4/4/2016","10:49am",-0.48,30.36,30.39,29.85,529555
"DHR",94.02,"4/4/2016","10:49am",-1.61,94.93,94.93,94.01,670409
"DIS",98.88,"4/4/2016","10:49am",-0.19,99.30,99.44,98.80,1007569
"DISCA",28.93,"4/4/2016","10:49am",+0.03,29.00,29.26,28.79,417110
"DISCK",27.41,"4/4/2016","10:48am",-0.07,27.50,27.78,27.35,455204
"DLPH",71.25,"4/4/2016","10:48am",-2.44,73.30,73.48,70.54,1011345
"DLTR",82.65,"4/4/2016","10:48am",-0.66,83.47,83.68,82.63,1006513
"DNB",103.87,"4/4/2016","10:48am",-0.43,104.18,104.44,102.89,27085
"DO",21.19,"4/4/2016","10:48am",+0.22,20.98,21.24,20.53,351386
"DOV",63.93,"4/4/2016","10:48am",-0.21,64.06,64.36,63.40,236025
"DOW",50.91,"4/4/2016","10:48am",-0.23,50.87,51.13,50.69,810579
"DPS",90.64,"4/4/2016","10:49am",-0.66,91.48,91.80,90.58,234209
"DRI",66.949,"4/4/2016","10:49am",-0.091,67.410,68.620,66.900,911610
"DTE",90.11,"4/4/2016","10:49am",-0.94,91.05,91.23,89.84,171817
"DUK",80.85,"4/4/2016","10:48am",-0.28,81.15,81.38,80.40,402502
"DVA",74.19,"4/4/2016","10:48am",+0.22,74.18,74.46,73.33,125641
"DVN",27.05,"4/4/2016","10:49am",+0.44,26.72,27.29,26.22,2375064
"EA",65.52,"4/4/2016","10:48am",-0.40,66.00,66.49,65.45,379628
